Event,X,Y
1.0,1.0,0.807945620682
2.0,1.19191919192,0.439126571304
3.0,1.38383838384,0.0945996019549
4.0,1.57575757576,0.749912323626
5.0,1.76767676768,0.949855243307
6.0,1.9595959596,0.462783609826
7.0,2.15151515152,0.396360459853
8.0,2.34343434343,0.742501740177
9.0,2.53535353535,0.43736878053
10.0,2.72727272727,0.892527014507
11.0,2.91919191919,0.0032682947167
12.0,3.11111111111,0.9346446295
13.0,3.30303030303,0.474088240289
14.0,3.49494949495,0.533487920194
15.0,3.68686868687,0.283133379602
16.0,3.87878787879,0.362027827894
17.0,4.07070707071,0.0010973380308
18.0,4.26262626263,0.402298625039
19.0,4.45454545455,0.349067492745
20.0,4.64646464646,0.40555236783
21.0,4.83838383838,0.419507548411
22.0,5.0303030303,0.0671350498396
23.0,5.22222222222,0.541491122737
24.0,5.41414141414,0.602308032531
25.0,5.60606060606,0.532709616691
26.0,5.79797979798,0.816394243706
27.0,5.9898989899,0.356473501422
28.0,6.18181818182,0.887538178517
29.0,6.37373737374,0.114161475727
30.0,6.56565656566,0.141671287235
31.0,6.75757575758,0.975104095628
32.0,6.94949494949,0.402250060718
33.0,7.14141414141,0.636463774554
34.0,7.33333333333,0.538559315838
35.0,7.52525252525,0.057487824281
36.0,7.71717171717,0.837878533066
37.0,7.90909090909,0.204764162083
38.0,8.10101010101,0.423769771392
39.0,8.29292929293,0.132216624442
40.0,8.48484848485,0.0870976015671
41.0,8.67676767677,0.940395835364
42.0,8.86868686869,0.900983934694
43.0,9.06060606061,0.188648135506
44.0,9.25252525253,0.52442030284
45.0,9.44444444444,0.129434665431
46.0,9.63636363636,0.195432293353
47.0,9.82828282828,0.995690887797
48.0,10.0202020202,0.804766250147
49.0,10.2121212121,0.35101079669
50.0,10.404040404,0.0245269531599
51.0,10.595959596,0.82983661674
52.0,10.7878787879,0.325010755189
53.0,10.9797979798,0.00669048053905
54.0,11.1717171717,0.62757314853
55.0,11.3636363636,0.594128016231
56.0,11.5555555556,0.796345620001
57.0,11.7474747475,0.936029412017
58.0,11.9393939394,0.0259465248975
59.0,12.1313131313,0.753873772763
60.0,12.3232323232,0.0724449987864
61.0,12.5151515152,0.680405038777
62.0,12.7070707071,0.581118498888
63.0,12.898989899,0.0773683487914
64.0,13.0909090909,0.425423433198
65.0,13.2828282828,0.146527922037
66.0,13.4747474747,0.700934363953
67.0,13.6666666667,0.283347716177
68.0,13.8585858586,0.917573105286
69.0,14.0505050505,0.308974153204
70.0,14.2424242424,0.471526001593
71.0,14.4343434343,0.941918107981
72.0,14.6262626263,0.0161492271398
73.0,14.8181818182,0.246391347709
74.0,15.0101010101,0.158698431905
75.0,15.202020202,0.838187889967
76.0,15.3939393939,0.457896227589
77.0,15.5858585859,0.643081252122
78.0,15.7777777778,0.623793900221
79.0,15.9696969697,0.830140413353
80.0,16.1616161616,0.175798050712
81.0,16.3535353535,0.593313241674
82.0,16.5454545455,0.254761095981
83.0,16.7373737374,0.110704640993
84.0,16.9292929293,0.868194410513
85.0,17.1212121212,0.999003787888
86.0,17.3131313131,0.639072024624
87.0,17.5050505051,0.476909868441
88.0,17.696969697,0.276756399156
89.0,17.8888888889,0.433468370548
90.0,18.0808080808,0.140513387205
91.0,18.2727272727,0.986302534928
92.0,18.4646464646,0.509578204387
93.0,18.6565656566,0.698620498822
94.0,18.8484848485,0.973280791877
95.0,19.0404040404,0.449577619091
96.0,19.2323232323,0.358994732684
97.0,19.4242424242,0.311385578881
98.0,19.6161616162,0.525572334859
99.0,19.8080808081,0.0891406810321
100.0,20.0,0.809004202814
